Project,Original Version,Original Commit,Backport Version,Backport Commit,Backport Date,Type
elastic,main,da51c8ccbf0171abefb2978810efd6db0f6f743e,8.19,b25542fd147164cd0e89a803bbe49f865972abdb,2025-07-30 19:06:41+00:00,TYPE-I
elastic,main,c94c021d0e2695f571a1fc841c46ee43f2d5a3ae,8.19,e867dcdb61cafeaa590dccfec0bc595ad3aac495,2025-06-26 13:36:32+00:00,TYPE-V
elastic,8.19,595251d5a10d6c4dc14ddfa7d4d7b6e2d5fab3ab,8.18,cd93409c3450fa843ed48cfc6c2042835b9e39b7,2025-06-10 16:06:11+00:00,TYPE-II
elastic,main,734dd070e719f0bac49953fbfb983fe8f19bd1de,8.19,c5a3eb86ffd964343865e2f48423f850f8f916ad,2025-06-05 07:51:10+00:00,TYPE-V
elastic,main,deeeadc01f86d08f887cbfcb0dc40caf3b7374f4,8.19,655e3ce1310196a95b154773106699d36d9fc8cb,2025-05-01 21:33:21+00:00,TYPE-V
elastic,main,21845ad7a18821ccd80927211285308bb3eb8038,8.19,56e19e28bd098337f57e5b49f45ae14137fd3e72,2025-05-01 21:28:14+00:00,TYPE-V
elastic,main,88cf2487e7deb38686870e40bf08b2b729b7d848,8.x,223d50f0524d3d3e9a19f18a3b146212ff830042,2025-02-27 16:23:40+00:00,TYPE-III
elastic,main,af6014ecb534a38e42b33c0783731ab0c0264e9b,8.x,d2778383792d414973065084d5cbcf4da32a2399,2025-02-25 21:34:20+00:00,TYPE-I
elastic,main,4f6a0e6840042133f937b0ddfd160e97ac2b68a1,8.x,f2d8f7d6d293bfdfdaeeedff3f82fbdfbaca67ff,2025-02-25 14:01:19+00:00,TYPE-I
elastic,main,763e7cd44a8b74ecc51489b577e0da7c302f458e,8.x,04ba85c4d223d458514c6e7558a7d3b541681810,2025-02-24 20:35:02+00:00,TYPE-I
elastic,main,4d2b8dc4f2e908821dfb34d4ffc14244fce83c41,8.x,8421006641a2d8e617636d0a10bbe63e60648420,2025-02-24 17:59:57+00:00,TYPE-I
elastic,8.x,41f09bf1fcba928dd5e94f1a0bab9c747d71b312,8.16,cc3c3870ecd91511f600a96612c30a3abbbb0129,2025-02-24 16:33:42+00:00,TYPE-II
elastic,main,187b192dfe7c6dc60bfa59fcd90c0ce1e6e3a857,8.x,41f09bf1fcba928dd5e94f1a0bab9c747d71b312,2025-02-24 15:28:42+00:00,TYPE-V
elastic,main,f5e2a92a3171808bd163570c3e1546230ec7c5ac,8.x,2aa011d594ee87cefbae255310afe75afc6a00e1,2025-02-24 09:33:50+00:00,TYPE-II
elastic,main,7cbd305a1605bd0fc3c181fb1790952f23fceaef,8.x,da7df4cf074fa2d2874342eab4a2535ef6caae43,2025-02-22 03:02:38+00:00,TYPE-I
elastic,main,2cc86b3df7ae7ad839569170b97497fa4da6e5bc,8.x,a803462ab51824828973ce0a72efb4c37a83a064,2025-02-21 22:44:26+00:00,TYPE-V
elastic,main,a8958755a7e76a25bd9fef74f385083edf7dd705,8.x,3b1c857199ad1b3aa1c0af674dc146f8fc328fc1,2025-02-21 16:59:02+00:00,TYPE-I
elastic,main,41dae025e7d68ecfbf91c3547219ec7d663ab364,9.0,730b538d967f1b51fa22be03bbbaffe28c377446,2025-02-20 22:51:42+00:00,TYPE-I
elastic,main,463dc4a8a5a99504f64d96ed53245f6e208fd227,8.x,4b4be70b9197aad510413f22cd6ea9be20b0a59e,2025-02-19 23:33:12+00:00,TYPE-I
elastic,main,846bf75f8b6484519e5aa6a791aa4f4600a6f447,8.x,bc2bd59f40e54067d02f0f0d299cdcdd1de0f192,2025-02-17 15:02:59+00:00,TYPE-I
elastic,main,fda7fc71e68259f313d6fcfd6b43ca9fec97b983,8.18,fa3bf55b9d0a0ce5bc610f7d2441a399f3e894f0,2025-02-14 22:24:10+00:00,TYPE-I
elastic,main,fda7fc71e68259f313d6fcfd6b43ca9fec97b983,8.x,ff0932f74fe09a872c88b1c4d3a089e031c438f9,2025-02-14 21:13:56+00:00,TYPE-V
elastic,main,d59a0d9d44fb0cf553cb33a7a5e0da1f0b541c6b,8.x,55ac92975e6ec0d714cfaa80d2d4a883bed9b78e,2025-02-14 18:49:24+00:00,TYPE-II
