Project,Original Version,Original Commit,Backport Version,Backport Commit,Backport Date,Type
graylog,master,9a99fa5c88c6674027f25b4715dcc77420331a14,7.0,70e3b2210c304a0b3c8562df8683197f8562f8c9,2025-11-26 08:51:16+00:00,TYPE-I
graylog,master,d6b96d6f9b7030fa3461e3d8e370220205a44306,6.2,9421b6cc1e5e92d05bbbe67f1dc89dfb7319d95c,2025-11-04 16:15:18+00:00,TYPE-I
graylog,master,12169e594da08dde083bdacc28c35e3b7a520535,6.3,3b5050775d4457379150957ab11f4416aa668a4d,2025-09-30 19:06:18+00:00,TYPE-I
graylog,master,4bd09278693c5b2bf7349f5d3f5ec3836f32ae9f,6.3,5d168a4e9e16572a304e5530dcb9f9dadfc23216,2025-09-30 09:58:26+00:00,TYPE-II
graylog,master,b17cee737de905c07e9aa9403fb98e40ba018cbe,6.1,197b8477a9d8d82817bb5999d86b46c4cf26ee3b,2025-08-06 06:13:46+00:00,TYPE-I
graylog,master,db68dfa92255dc14f03f2e9d21c471daf3162518,6.1,4a6f103c154197d5420c1d1fc14406a1049c0fc7,2025-06-03 14:00:07+00:00,TYPE-I
graylog,master,181399cfbb4cffbd2b6a352aa5c01b013c0577cf,6.1,7e505b48c57e836eebaff759a5769fbe932f0857,2025-05-23 21:01:07+00:00,TYPE-II
graylog,master,a78649d109b7695ac4fb77239cb6dc4401c5044d,6.1,1b2af126ebd1e4ea65826fb25e31a3b3760f1aeb,2025-05-16 14:42:47+00:00,TYPE-II
graylog,master,fe699c8d613f519b382962b3b19c9a70ea793662,6.0,27b696c672edd0952ddb1922521eb7d495b6ed2b,2025-04-07 14:13:13+00:00,TYPE-III
graylog,master,32fbea9125bfe253f7d4bed94aa71eca60a8843c,6.0,97ec98b39d4f4bd57439cd766e01834dbf2537f0,2025-03-05 07:58:53+00:00,TYPE-II
graylog,master,7845ab99117250085170ffede89de0e8ae84de7f,6.1,566d3c019156ffb46ef920d08b32774cdbe1e727,2025-02-26 08:08:26+00:00,TYPE-I
graylog,master,45e5c07e4caf62045f327ff2ee9dfb6b17762b56,6.1,8d972b2311d10d0516df7b3e54cb9b976627767d,2025-02-14 15:31:06+00:00,TYPE-V
graylog,master,b9ebea9aa1b309d82b020eb3c54fa36f042edbf5,6.0,358d917d34da3654f17368efd0053c583cdad911,2025-02-06 15:34:52+00:00,TYPE-I
graylog,master,92dab916a50f809fccb0943e53f0165dd9a121c8,6.0,da799e6aca360d0bf12a3302588649f445e2c920,2024-12-18 17:35:17+00:00,TYPE-I
graylog,master,90a12d6b4170ed10ada22f909af4a6089113dad6,6.0,aafd66b9fa32f97adb95faf084ca5dab8be32309,2024-11-21 08:33:49+00:00,TYPE-II
graylog,master,296cd1a876b532606be160dc3a504b9539301a13,6.0,7cfea09b2c3773bb36dacf597e5a7740dfb8d8d9,2024-10-31 20:31:43+00:00,TYPE-I
graylog,master,427681515d45bbe38a63899f10d7297d0a0094a5,5.2,78296cabd65a4b8903bc316236417783010ebee9,2024-08-29 13:35:17+00:00,TYPE-V
graylog,master,ab31c69147f27363fb68e9d134fcb80bba81502a,6.0,e38b1fa2cbf274f932df96fca98db6682159322c,2024-08-13 10:41:45+00:00,TYPE-I
graylog,master,f4dfb95d4ff4d813548770d1558c00195d7ba6d0,5.2,0244ac02a265793728d25fe715dbedc83713e355,2024-08-06 06:05:52+00:00,TYPE-I
graylog,master,4a1cbb4dcb8563a6686e0709040dea75ed831359,5.1,d6e2f6c6ad542ebeee0d15a732e3d21ca8ec724e,2024-06-05 09:13:27+00:00,TYPE-V
graylog,master,be7df675661b85d1e50c7971cad139f8d21aaffb,5.1,56362c72d24db0532161c3288b2b21e2d2772c01,2024-01-11 13:12:32+00:00,TYPE-I
