Project,Original Version,Original Commit,Backport Version,Backport Commit,Backport Date,Type
hbase,master,7ef359b7ffc8ca792c5bcfd70659cd01fd7e57c7,branch-2.6,eda1fc4455726a838902adf2ceca770b1e4516b2,2025-12-29 15:27:52+00:00,TYPE-I
hbase,master,052d36b0b262daba69bdbea4c44ef4e4b951df2b,branch-2,97a6c0ec273231f270cd80a3affd1c9f0d247796,2025-07-18 19:23:40+00:00,TYPE-I
hbase,master,9f841d0ad0914bfa8d4d95f0e168eb42902552be,branch-2.6,cf4630b7f5394890f5d1c63eb291fe7f638ffe1f,2025-05-23 14:02:34+00:00,TYPE-I
hbase,master,30ce21bcadb403feef1007c22c5549fdcf8d13d9,branch-2.6,c1c2e9866e7f5eb2a961e771e5484ac022e7ab01,2025-04-28 08:08:24+00:00,TYPE-I
hbase,master,e56e14bcc9f15ceae3f7961a21d4eef94ce1c159,branch-2,e110ee1c30e2a6be2ebf39cc109c7f5f10981994,2025-04-23 08:26:02+00:00,TYPE-I
hbase,master,3e951120a47f1b9bf44fd31dafb32a158b6209f4,branch-2.6,9bfd32f14031304d862fbfaa45da35e5b03073e9,2025-03-21 18:26:52+00:00,TYPE-I
hbase,master,47d2aa53cb331d478e21147c83d5284a870d6d5c,branch-2,636703bb7ea46ee0d0d4436d88284cc66a01a8cc,2025-03-18 08:51:44+00:00,TYPE-V
hbase,master,78b06cefdeb183970a008486ef3e30383e410d2f,branch-2.5,279702e3cc98eef3ee9eb46cfd9cc8d3195ea0ab,2025-02-18 16:35:46+00:00,TYPE-I
hbase,master,1880cb3ab57f74ada8fd0161a400676a15b4012c,branch-2,6f5010e4a1f383c8f5daca3d189910939561e047,2024-12-05 08:48:11+00:00,TYPE-I
hbase,master,c556dde144612aa71524a011e01892316ca15d57,branch-2.6,baabc1d7c4e639a8e9a5838ff14494b75a769522,2024-12-03 16:27:14+00:00,TYPE-I
hbase,master,aa41b3e12ec9ab725dcc990b4e1966372451d5aa,branch-2.6,1d8b14014bda6da4cd3bf0df32feffa9178aa3ec,2024-09-30 17:21:30+00:00,TYPE-I
hbase,master,449c446c3c8389e4e81aed08ca9ac56a330a20bb,branch-2.6,99aa86de45c591bd1ee3e060937196098ea4d40f,2024-09-26 08:20:11+00:00,TYPE-I
hbase,master,63b26b126dd61257e1a6fdf2f6eb1737ad99d71c,branch-2.6,dbf8acf196ad74ce932eb1a5ad78368f207e0a6c,2024-09-04 10:59:29+00:00,TYPE-I
hbase,master,158b6d0af593604bcbc9b2d0e815198e032928c4,branch-2.6,70619f0ee10533dad5ccb890232ebfda0394a387,2024-08-07 08:07:54+00:00,TYPE-I
hbase,master,b4cbd5c84b2402c5779e79d7076cea94be014d21,branch-2,5a199207278be52dad4b13912244e7b3c7f0dd52,2024-07-22 13:15:32+00:00,TYPE-I
hbase,master,5082212e04911310e540b3851b94cebae6593361,branch-2,7ac7f054df2c76a6086239524d7c062ab25e16ef,2024-07-10 14:32:57+00:00,TYPE-I
hbase,master,f8aa3e23126c3ed0fd2558ecf1cec205d8edc928,branch-3,2848cfa42c85cf7dea751113cadb22733a0c11b1,2024-06-21 15:13:50+00:00,TYPE-I
hbase,master,00b1bba5065d816523972baec56088db4ee20b85,branch-2.6,e554476aa02d067c8e293ad034ee16d6d8629a5c,2024-06-07 08:04:47+00:00,TYPE-I
hbase,master,04816d98a201efc6c6d50eed4a3b6d7154caf5e7,branch-2,f56248673aead5c1252165253bb85f6d24942416,2024-06-06 13:00:40+00:00,TYPE-I
hbase,master,1c41e861f8f54206ad98ee9b8ab943d55210c65f,branch-2.6,91672904a7ba86c80cfe3c841ac25e79e5342ef4,2024-02-29 17:11:25+00:00,TYPE-I
hbase,master,8c989c92a67cc4373c1291f400aa372bca2d33b6,branch-2,e1cebb0deaf8c55071b9e490172e725b37e78d4a,2024-02-28 14:54:53+00:00,TYPE-I
